Account,Date,Action,Symbol,Description,Quantity,Price,fees_and_comm,Amount
Demo Account,06/02/2025,Buy,AAPL,APPLE INC,50,$225.50,,-$11277.50
Demo Account,06/10/2025,Buy,MSFT,MICROSOFT CORP,30,$425.00,,-$12750.00
Demo Account,06/10/2025,Sell to Open,MSFT 07/18/2025 430.00 C,CALL MICROSOFT CORP $430 EXP 07/18/25,1,$2.85,$0.66,$284.34
Demo Account,06/16/2025 as of 06/15/2025,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,$0.12
Demo Account,07/01/2025,Sell to Open,NVDA 07/18/2025 120.00 P,PUT NVIDIA CORP $120 EXP 07/18/25,1,$4.50,$0.66,$449.34
Demo Account,07/15/2025,Buy,TSLA,TESLA INC,50,$265.00,,-$13250.00
Demo Account,07/15/2025,Sell to Open,TSLA 08/15/2025 270.00 C,CALL TESLA INC $270 EXP 08/15/25,1,$3.80,$0.66,$379.34
Demo Account,07/18/2025 as of 07/18/2025,Assigned,NVDA 07/18/2025 120.00 P,PUT NVIDIA CORP $120 EXP 07/18/25,1,,,
Demo Account,07/18/2025 as of 07/18/2025,Expired,MSFT 07/18/2025 430.00 C,CALL MICROSOFT CORP $430 EXP 07/18/25,1,,,
Demo Account,07/22/2025,Sell,MSFT,MICROSOFT CORP,30,$438.50,$0.02,$13154.98
Demo Account,08/01/2025,Buy,COST,COSTCO WHOLESALE CORP,20,$815.00,,-$16300.00
Demo Account,08/05/2025,Sell to Open,AMZN 08/22/2025 175.00 P,PUT AMAZON.COM INC $175 EXP 08/22/25,1,$3.20,$0.66,$319.34
Demo Account,08/10/2025,Buy to Open,SPY 09/18/2025 550.00 P,PUT SPDR S&P 500 ETF $550 EXP 09/18/25,1,$5.00,$0.66,-$500.66
Demo Account,08/18/2025 as of 08/15/2025,Assigned,TSLA 08/15/2025 270.00 C,CALL TESLA INC $270 EXP 08/15/25,1,,,
Demo Account,08/18/2025 as of 08/15/2025,Sell,TSLA,TESLA INC,50,$270.00,$0.02,$13499.98
Demo Account,08/25/2025 as of 08/22/2025,Expired,AMZN 08/22/2025 175.00 P,PUT AMAZON.COM INC $175 EXP 08/22/25,1,,,
Demo Account,09/01/2025,Sell to Open,META 09/19/2025 550.00 P,PUT META PLATFORMS INC $550 EXP 09/19/25,1,$5.20,$0.66,$519.34
Demo Account,09/01/2025,Buy to Open,QQQ 10/16/2025 550.00 C,CALL INVESCO QQQ TR $550 EXP 10/16/25,1,$8.00,$0.66,-$800.66
Demo Account,09/01/2025,Sell to Open,QQQ 10/16/2025 570.00 C,CALL INVESCO QQQ TR $570 EXP 10/16/25,1,$4.00,$0.66,$399.34
Demo Account,09/10/2025,Buy to Open,PLTR 01/15/2027 80.00 C,CALL PALANTIR TECHNOLOGI$80 EXP 01/15/27,2,$40.00,$1.32,-$8001.32
Demo Account,09/19/2025 as of 09/18/2025,Expired,SPY 09/18/2025 550.00 P,PUT SPDR S&P 500 ETF $550 EXP 09/18/25,1,,,
Demo Account,09/22/2025 as of 09/19/2025,Assigned,META 09/19/2025 550.00 P,PUT META PLATFORMS INC $550 EXP 09/19/25,1,,,
Demo Account,09/22/2025,Buy,META,META PLATFORMS INC,100,$550.00,,-$55000.00
Demo Account,09/22/2025,Sell to Open,META 10/17/2025 560.00 C,CALL META PLATFORMS INC $560 EXP 10/17/25,1,$4.10,$0.66,$409.34
Demo Account,10/01/2025,Buy to Open,AMD 11/21/2025 140.00 C,CALL ADVANCED MICRO DEVICES $140 EXP 11/21/25,2,$2.60,$1.32,-$521.32
Demo Account,10/10/2025,Sell to Close,QQQ 10/16/2025 550.00 C,CALL INVESCO QQQ TR $550 EXP 10/16/25,1,$12.00,$0.66,$1199.34
Demo Account,10/10/2025,Buy to Close,QQQ 10/16/2025 570.00 C,CALL INVESCO QQQ TR $570 EXP 10/16/25,1,$1.00,$0.66,-$100.66
Demo Account,10/15/2025,Sell to Close,AMD 11/21/2025 140.00 C,CALL ADVANCED MICRO DEVICES $140 EXP 11/21/25,2,$3.40,$1.32,$678.68
Demo Account,10/20/2025 as of 10/17/2025,Expired,META 10/17/2025 560.00 C,CALL META PLATFORMS INC $560 EXP 10/17/25,1,,,
Demo Account,10/20/2025,Sell to Open,JPM 11/21/2025 195.00 P,PUT JPMORGAN CHASE & CO $195 EXP 11/21/25,1,$2.80,$0.66,$279.34
Demo Account,11/01/2025,Buy,GOOGL,ALPHABET INC CLASS A,100,$175.00,,-$17500.00
Demo Account,11/01/2025,Sell to Open,GOOGL 12/20/2025 180.00 C,CALL ALPHABET INC $180 EXP 12/20/25,1,$1.85,$0.66,$184.34
Demo Account,11/05/2025,Sell to Open,PLTR 12/19/2025 95.00 C,CALL PALANTIR TECHNOLOGI$95 EXP 12/19/25,2,$3.50,$1.32,$698.68
Demo Account,11/15/2025,Cash Dividend,AAPL,APPLE INC,,,,$25.00
Demo Account,11/15/2025,Cash Dividend,COST,COSTCO WHOLESALE CORP,,,,$91.00
Demo Account,11/16/2025 as of 11/15/2025,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,$0.18
Demo Account,11/24/2025 as of 11/21/2025,Expired,JPM 11/21/2025 195.00 P,PUT JPMORGAN CHASE & CO $195 EXP 11/21/25,1,,,
Demo Account,12/01/2025,Sell to Open,SPY 12/20/2025 580.00 P,PUT SPDR S&P 500 ETF $580 EXP 12/20/25,1,$2.45,$0.66,$244.34
Demo Account,12/05/2025,Sell to Open,AAPL 12/20/2025 235.00 C,CALL APPLE INC $235 EXP 12/20/25,1,$3.00,$0.66,$299.34
Demo Account,12/20/2025 as of 12/20/2025,Expired,AAPL 12/20/2025 235.00 C,CALL APPLE INC $235 EXP 12/20/25,1,,,
Demo Account,12/20/2025 as of 12/20/2025,Expired,GOOGL 12/20/2025 180.00 C,CALL ALPHABET INC $180 EXP 12/20/25,1,,,
Demo Account,12/21/2025 as of 12/19/2025,Expired,PLTR 12/19/2025 95.00 C,CALL PALANTIR TECHNOLOGI$95 EXP 12/19/25,2,,,
Demo Account,12/21/2025 as of 12/20/2025,Expired,SPY 12/20/2025 580.00 P,PUT SPDR S&P 500 ETF $580 EXP 12/20/25,1,,,
